Price,Close,Volume,EMA20,EMA50,EMA200,RSI14,MACD,Signal,BB_Width
Ticker,BTC-USD,BTC-USD,,,,,,,
Date,,,,,,,,,
2024-09-14,60005.12109375,16428405496,58309.635582653216,59619.55156892656,59298.841617801736,52.96184692949939,-442.78776363062934,-909.9040416138142,0.1501138013336393
2024-09-15,59182.8359375,18120960867,58392.79752121005,59602.425465733366,59297.68733238648,55.57633456811176,-325.89714303093933,-793.1026618972393,0.130048857409568
2024-09-16,58192.5078125,32032822113,58373.72231085671,59547.134577371275,59286.69052087435,47.09919134106528,-309.60277910775767,-696.4026853393431,0.12752805747691653
2024-09-17,60308.5390625,38075570118,58557.99057291798,59576.99357678809,59296.858168392464,58.83120482759679,-124.50808909263287,-582.023766090001,0.1320100358640687
2024-09-18,61649.6796875,40990702891,58852.437155259126,59658.2753850513,59320.269328556526,60.759594921712164,128.91359070943872,-439.836294730113,0.14259115421014537
2024-09-19,62940.45703125,42710252573,59241.772381543975,59786.98839078459,59356.29109791544,70.45597151462667,428.9622323269068,-266.076589318709,0.16085146785589788
2024-09-20,63192.9765625,35177164222,59618.07754163502,59920.55655438128,59394.46707391812,81.63037815241738,679.298626601827,-77.00154613460175,0.17776376589645962
2024-09-21,63394.83984375,14408616220,59977.769189455496,60056.80295788593,59434.271779365976,81.64410741574439,883.7928881237531,115.15734071706929,0.19177598688926245
2024-09-22,63648.7109375,20183348802,60327.38268926926,60197.66209434139,59476.20649868245,81.06399353872837,1054.1893012036235,302.9637328143802,0.20552754082964753
2024-09-23,63329.80078125,31400285425,60613.3272694579,60320.49106245545,59514.55072159912,75.61660188361378,1150.2370847282727,472.41840319715885,0.2136410962827292
2024-09-24,64301.96875,29938335243,60964.62645808096,60476.62744235915,59562.18672335715,76.27722474107453,1289.9319430056712,635.9211111588614,0.22488304272877363
2024-09-25,63143.14453125,25078377700,61172.10436981134,60581.19673996271,59597.818145423844,71.46067090929326,1292.237584399576,767.1844058070044,0.22342322539596315
2024-09-26,65181.01953125,36873129847,61553.90581375788,60761.58194746417,59653.3723897555,73.88426206125965,1441.883171424437,902.124158930491,0.21465870231177503
2024-09-27,65790.6640625,32058813449,61957.40659935237,60958.80085393616,59714.43997042433,70.17937903747818,1591.3277600886431,1039.9648791621216,0.2032958371182896
